Pricing Date,Issuer Ticker,Issuer Name,Offer Size (M),Offer Price,Offer To 1st Close,Initial Pub Offer (Shares Offered),Bookrunner,Industry Sector,Market Cap at Offer (M),Instit Owner (% Shares Out),Primary Exchange
9/24/09,NEV US,Nuveen Enhanced Municipal Value Fund,288,15,0.06666667,16800000.00,"Nuveen Investments Inc, Wells Fargo, BofA Securities",Financial,0,4.19578, 
9/24/09,ARI US,Apollo Commercial Real Estate Finance Inc,200,20,-7.5,10000000.00,"JP Morgan, Citi, Barclays",Financial,430.5,71.4439,New York
9/23/09,ART US,Artio Global Investors Inc,718.748,26,4.807692528,25000000.00,Goldman Sachs,Financial,718.93,, 
9/23/09,AONEQ US,B456 Systems Inc,428.316,13.5,50.29629517,27500000.00,"Goldman Sachs, Morgan Stanley",Industrial,1325.44,, 
9/23/09,1627503D US,Colony Capital Inc/Old,287.5,20,-2.5,12500000.00,"BofA Securities, Goldman Sachs, Morgan Stanley, UBS",Financial,292.62,, 
9/23/09,VITC US,Vitacost.com Inc,132,12,0.416666657,11000000.00,"Jefferies, Oppenheimer & Co",Communications,330.27,, 
9/16/09,CXS US,Annaly Commercial Real Estate Group Inc,200,15,-2.466666698,13333300.00,"BofA Securities, Deutsche Bank",Financial,271.67,, 
8/21/09,CFN US,CareFusion Corp,0,0,,,,"Consumer, Non-cyclical",0,, 
8/11/09,STWD US,Starwood Property Trust Inc,931.5,20,0,40500000.00,"BofA Securities, Deutsche Bank, Citi",Financial,969.15,54.0173,New York
8/11/09,1873532D US,Change Healthcare Holdings Inc,422.453,15.5,6.580645084,23700000.00,"Goldman Sachs, Morgan Stanley, UBS, Barclays",Technology,1371.25,, 
8/10/09,CPIX US,Cumberland Pharmaceuticals Inc,85,17,-1,5000000.00,"UBS, Jefferies, Wells Fargo","Consumer, Non-cyclical",308.19,24.4446,NASDAQ GS
8/5/09,AVGO US,Broadcom Inc,648,15,7.866666794,43200000.00,,Technology,3538.32,90.4311,NASDAQ GS
7/29/09,PMT US,PennyMac Mortgage Investment Trust,320,20,-4.5,16000000.00,"BofA Securities, UBS, Deutsche Bank",Financial,334.71,71.544,New York
7/29/09,2536354D US,Tortoise Power and Energy Infrastructure Fund Inc,137,20,0,6850000.00,Wells Fargo,Financial,0,7.77828, 
7/10/09,TBNK US,Territorial Bancorp Inc,122.331,10,49.90000153,12233100.00,Stifel,Financial,0,23.9719, 
7/2/09,3337375Z CN,Vuzix Corp,5.36797,0.2,,31180200.00,Canaccord Financial Inc,Technology,0,, 
6/30/09,LOGM US,GoTo Group Inc,122.667,16,25.125,6666670.00,"JP Morgan, Barclays",Communications,358.13,, 
6/26/09,IGI US,Western Asset Investment Grade,210.398,20,0,9500000.00,"Wells Fargo, BofA Securities, Citi",Financial,0,52.3913,New York
6/25/09,IVR US,Invesco Mortgage Capital Inc,176.224,20,-2.900000095,8500000.00,"Morgan Stanley, UBS",Financial,178.23,40.2671,New York
6/24/09,MDSO US,Medidata Solutions Inc,101.43,14,21.4285717,6300000.00,"Citi, UBS",Technology,326.18,, 
6/18/09,MAPS CN,Prostar Holdings Inc,0.17718,0.1,59.99999619,2000000.00,Haywood Securities Inc,Technology,1.06308,,Venture
6/11/09,CYS US,CYS Investments Inc,115.115,11,5,9100000.00,Barclays,Financial,200.57,, 
6/2/09,OPITQ US,Office Properties Income Trust,230,20,-2.650000095,10000000.00,"Morgan Stanley, BofA Securities, Wells Fargo",Financial,429,4.64604,OTC US
5/26/09,EOT US,Eaton Vance National Municipal Opportunities Trust,305,20,0,13750000.00,"BofA Securities, Wells Fargo, Citi, UBS, Morgan Stanley",Financial,0,22.3564,New York
5/20/09,1853195D US,OpenTable Inc,69,20,59.45000076,3000000.00,BofA Securities,Communications,441.09,, 
5/19/09,1655912D US,SolarWinds North America Inc,174.171,12.5,10,12116300.00,"Goldman Sachs, JP Morgan, Morgan Stanley",Technology,802.33,, 
5/13/09,DGI US,DigitalGlobe Inc,279.3,19,13.15789509,14700000.00,"Morgan Stanley, JP Morgan",Communications,852.55,, 
4/28/09,NCB US,Nuveen California Municipal Value Fund 2,49.2135,15,0,2900000.00,"Nuveen Investments Inc, Morgan Stanley, BofA Securities, Citi",Financial,0,4.56727, 
4/28/09,NYV US,Nuveen New York Municipal Value Fund 2,35.1,15,0,2340000.00,"Nuveen Investments Inc, Morgan Stanley, BofA Securities, Citi",Financial,0,7.06164, 
4/28/09,NJV US,Nuveen New Jersey Municipal Value Fund,23.3068,15,0,1455000.00,"Nuveen Investments Inc, Morgan Stanley, Citi, BofA Securities",Financial,0,4.4577, 
4/28/09,NPN US,Nuveen Pennsylvania Municipal Value Fund,18.012,15,0.06666667,1100000.00,"Nuveen Investments Inc, Morgan Stanley, BofA Securities, Citi",Financial,0,5.30249, 
4/21/09,2857742Z US,Staccato Acquisition Corp,49,0,,6125000.00,EarlyBirdCapital.com,Diversified,0,, 
4/15/09,RST US,Rosetta Stone Inc,129.375,18,39.55555725,6250000.00,"Morgan Stanley, William Blair & Co LLC",Technology,365.66,, 
4/14/09,ZVOI US,Zovio Inc,163.012,10.5,5.714285851,13500000.00,"UBS, JP Morgan",Technology,557.97,0.141682,OTC US
3/27/09,MTT US,Western Asset Municipal Defined Opportunity Trust Inc,238.2,20,0,10900000.00,"Citi, Wells Fargo",Financial,0,6.05871, 
2/25/09,NUW US,Nuveen AMT-Free Municipal Value Fund,189,15,0,11500000.00,Citi,Financial,0,35.8364,New York
2/10/09,MJN US,Mead Johnson Nutrition Co,828,24,10.125,30000000.00,"JP Morgan, UBS, Citi, Morgan Stanley, BofA Securities","Consumer, Non-cyclical",1844.27,, 
1/28/09,HIBE US,Hibernia Bancorp Inc,11.1333,10,5,1113330.00,Sandler O'Neill & Partners,Financial,0,, 
11/19/08,LOPE US,Grand Canyon Education Inc,144.9,12,-1.25,10500000.00,"BofA Securities, UBS","Consumer, Non-cyclical",543.68,107.304,NASDAQ GS
9/30/08,HBCP US,Home Bancorp Inc,89.2688,10,14.89999962,8926880.00,Sandler O'Neill & Partners,Financial,0,59.0729,NASDAQ GS
9/17/08,LCT CN,LCTI Low Carbon Technologies International Inc,0.11423,0.1,,1230000.00,Union Securities Ltd,Energy,0.37148,, 
8/11/08,DJSPU US,DJSP Enterprises Inc,55,8,1.5,6875000.00,"Maxim Group LLC, Brean Murray Carret & Co LLC",Technology,0,, 
8/7/08,RAX US,Rackspace Technology Global Inc,187.5,12.5,-19.92000008,15000000.00,"UBS, Goldman Sachs, BofA Securities",Technology,1443.06,, 
7/31/08,HCI US,HCI Group Inc,11.6669,7,-12.85714245,1666700.00,"GunnAllen Financial Inc, Wunderlich Securities Inc",Financial,47.9409,82.3482,New York
7/23/08,GTATQ US,GT Advanced Technologies Inc,499.95,16.5,-11.57575798,30300000.00,UBS,Technology,2349.43,, 
7/17/08,3679536Q LN,Resaca Exploitation Inc,106.339,130,2.989478111,41000000.00,,Energy,240.144,, 
7/3/08,KLH CN,Edesa Biotech Inc,0.29379,0.1,100,3000000.00,Haywood Securities Inc,"Consumer, Non-cyclical",0.48965,, 
7/1/08,ERII US,Energy Recovery Inc,136.85,8.5,15.64705849,14000000.00,"UBS, Citi",Industrial,407.3,101.677,NASDAQ GS
6/30/08,2892057Z CN,ID Watchdog Inc,10.0184,0.6,,17000000.00,Haywood Securities Inc,"Consumer, Non-cyclical",29.2892,, 
6/24/08,2882961Z CN,Harvest Health & Recreation Inc,2.55386,0.25,,10350000.00,Gateway Securities Inc,"Consumer, Non-cyclical",0,, 
6/24/08,LPS US,Black Knight InfoServ LLC,0,0,,,,Technology,0,, 
6/17/08,RHIEQ US,Sonar Entertainment Inc,189,14,-3.571428537,13500000.00,"JP Morgan, BofA Securities","Consumer, Cyclical",175,, 
6/12/08,1853725D CN,Mood Media Corp/CA,26.5005,2,-1.5,13500000.00,Macquarie,"Consumer, Cyclical",0,, 
6/11/08,OCSL US,Oaktree Specialty Lending Corp,141.2,14.12,-14.16430569,10000000.00,"Goldman Sachs, Wells Fargo, UBS",Financial,319.31,43.8786,NASDAQ GS
5/29/08,2847352Z CN,GTM Capital Corp,0.30363,0.2,,,Macquarie,Financial,0.566776,, 
5/22/08,FRB CN,Forbes Energy Services Ltd,174.927,7,-1.428571463,21430000.00,Paradigm Capital Inc,Energy,0,, 
5/21/08,SGLY US,Singularity Future Technology,9.525,7.75,80.38710022,1229000.00,Wunderlich Securities Inc,Industrial,0,2.95114,NASDAQ CM
5/14/08,AGNC US,AGNC Investment Corp,200,20,-3.25,10000000.00,"BofA Securities, Citi",Financial,300.09,40.6082,NASDAQ GS
5/14/08,VRSZQ US,Verso Corp,168,12,-16.66666603,14000000.00,"Citi, UBS",Basic Materials,624.56,, 
5/8/08,9953211D US,Western Midstream Operating LP,343.38,16.5,0,18750000.00,"Morgan Stanley, UBS, Citi",Energy,437.85,15.8271, 
5/8/08,RGSEQ US,Real Goods Solar Inc,55,10,-12,5500000.00,ThinkEquity LLC,Energy,133.47,, 
5/7/08,ENOV US,Enovis Corp,388.125,18,16.66666603,18750000.00,"BofA Securities, Barclays, UBS","Consumer, Non-cyclical",792.11,119.788,New York
4/30/08,2147946D US,Pioneer Southwest Energy Partners LP,180.262,19,3.421052694,8250000.00,"Citi, UBS, Deutsche Bank",Energy,570.17,, 
4/28/08,KDP US,Keurig Dr Pepper Inc,0,0,,,,"Consumer, Non-cyclical",0,109.947,NASDAQ GS
4/24/08,HTS US,Hatteras Financial Corp,276,24,2.833333254,10000000.00,"Stifel, BofA Securities",Financial,839.01,, 
4/24/08,WHXT US,Whiting USA Trust I,233.55,20,4.25,10850000.00,"Wells Fargo, Raymond James & Associates",Energy,293.82,, 
4/24/08,PGDC CN,Patagonia Gold Corp,0.49225,0.3,-3.97E-06,1666670.00,Wolverton Securities,Basic Materials,0.7876,20.408,Venture
4/22/08,AWK US,American Water Works Co Inc,1358.23,21.5,-4.1860466,58000000.00,"Goldman Sachs, BofA Securities, Citi",Utilities,3551.22,102.597,New York
4/21/08,IPI US,Intrepid Potash Inc,1104,32,57.5,30000000.00,"BofA Securities, Morgan Stanley, Goldman Sachs",Basic Materials,2394.98,69.4316,New York
4/15/08,ABV/H CN,Algae Biosciences Corp,0.2946,0.2,-75,1500000.00,Macquarie,Industrial,0.5892,, 
4/4/08,PAHC LN,Phibro Animal Health Corp,45,5,4.5,9000000.00,,"Consumer, Non-cyclical",345,, 
4/4/08,IOM CN,Assure Holdings Corp,0.19828,0.1,160,2000000.00,Canaccord Financial Inc,"Consumer, Non-cyclical",0.39656,, 
3/18/08,V US,Visa Inc,19650.4,44,28.40909004,406000000.00,"Goldman Sachs, JP Morgan, UBS, BofA Securities, Wells Fargo, Citi, HSBC",Financial,19650.4,93.7326,New York
3/18/08,1917130D US,BioTelemetry Inc,82.764,18,-1.666666627,4500000.00,Citi,"Consumer, Non-cyclical",414.79,, 
3/18/08,HFFIU US,U-Swirl Inc,5.1,5.1,2.941178322,1000000.00,Paulson Investment Co Inc,"Consumer, Cyclical",0,, 
3/11/08,HCCI US,Heritage-Crystal Clean Inc,25.3127,11.5,23.39130402,1914000.00,William Blair & Co LLC,Industrial,123.46,, 
2/26/08,BPW/U US,BPW Acquisition Corp,350,10,-2,35000000.00,Citi,Diversified,411.76,, 
2/19/08,USRM US,US Stem Cell Inc,5.775,5.25,-4.761904716,1100000.00,Dawson James Securities,"Consumer, Non-cyclical",75.85,,OTC US
2/14/08,IRDMU US,Iridium Communications Inc,400,10,-3,40000000.00,BofA Securities,Communications,485,, 
2/14/08,CLOT US,Concentric Medical Inc,69,0,,,"Lehman Brothers, BofA Securities","Consumer, Non-cyclical",0,, 
2/14/08,1576198D US,ArcSight LLC,61.7573,9,-2.444444418,6861920.00,Morgan Stanley,"Consumer, Cyclical",278.47,0.0271181, 
2/14/08,2644867D US,MAKO Surgical Corp,51,10,-8.199999809,5100000.00,"Morgan Stanley, JP Morgan","Consumer, Non-cyclical",184.38,, 
1/31/08,CBNJ US,Cape Bancorp Inc,78.2,10,0.5,7820000.00,Stifel,Financial,133.13,, 
1/28/08,BHL US,BlackRock Defined Opportunity Credit Trust,133.5,15,0,8000000.00,"BofA Securities, UBS, Wells Fargo",Financial,0,, 
1/25/08,AXG/U US,Atlas Acquisition Holdings Corp,200,10,-0.5,20000000.00,"Morgan Stanley, Lazard",Financial,0,, 
1/24/08,RISK US,RiskMetrics Group LLC,281.75,17.5,35.7142868,14000000.00,"Goldman Sachs, UBS, BofA Securities","Consumer, Non-cyclical",1048.27,, 
1/24/08,IPCM US,IPC Healthcare Inc,94.48,16,28,5200000.00,"UBS, Jefferies","Consumer, Non-cyclical",236.99,, 
1/23/08,TUX/U US,Trian Acquisition I Corp,920,10,0.400000006,80000000.00,"BofA Securities, Deutsche Bank",Diversified,0,, 
1/22/08,EBSB US,Meridian Bancorp Inc,100.5,10,-4,10050000.00,Stifel,Financial,230,, 
1/17/08,FYR/U US,Sapphire Industrials Corp,800,10,-0.200000003,80000000.00,Citi,Financial,1000,, 
1/17/08,WMZ US,Williams Pipeline Partners LP,358,20,0,16250000.00,"BofA Securities, Barclays, Citi",Energy,452.01,, 
1/17/08,HMR/U US,Sports Properties Acquisition Corp,215.563,10,1.200000048,20000000.00,BofA Securities,Diversified,0,, 
1/14/08,HUTCU US,Verizon Telematics Inc,150,10,0,15000000.00,Lazard,"Consumer, Cyclical",0,, 
1/10/08,DNBK US,Danvers Bancorp Inc,149.5,10,-2.400000095,14950000.00,Sandler O'Neill & Partners,Financial,0,, 
1/10/08,CPN US,Calpine Corp,0,0,,,,Utilities,0,1.67775, 
1/7/08,LSI LN,Lifeline Scientific Inc,11.0009,150,1.666666627,3675100.00,,"Consumer, Non-cyclical",46.4823,, 
12/20/07,NXT/H CN,Natcore Technology Inc,0.30072,0.15,66.66665649,2000000.00,Pacific International Securities Inc,Energy,0.60144,, 
12/19/07,N US,NetSuite Inc,185.38,26,36.53845978,6200000.00,UBS,Technology,1571.46,, 
12/19/07,RCR US,RMR Dividend Capture Fund,25,20,0,1250000.00,"Oppenheimer & Co, RBC Capital Markets",Financial,0,, 
12/18/07,OESX US,Orion Energy Systems Inc,115,13,64.69230652,7692310.00,Stifel,Industrial,345.19,38.9117,NASDAQ CM
12/14/07,GIGIQ US,Gulfstream International Group Inc,7.36,8,-7.5,800000.00,Taglich Brothers Inc,"Consumer, Cyclical",23.68,, 
12/13/07,2362568D US,MEMSIC Inc,68.23,10,2.5,6000000.00,Citi,Industrial,234.39,, 
12/13/07,ITLN US,Intellon Corp,45,6,12.5,7500000.00,Deutsche Bank,Technology,179.67,, 
12/12/07,MDAS US,MedAssets Inc,244.72,16,28.125,13300000.00,"Morgan Stanley, Lehman Brothers","Consumer, Non-cyclical",685.79,, 
12/12/07,LRN US,Stride Inc,124.2,18,36.38888931,6000000.00,"UBS, Morgan Stanley","Consumer, Non-cyclical",489.75,116.209,New York
12/11/07,URX/U US,United Refining Energy Corp,450,10,-1.200000048,45000000.00,"Maxim Group LLC, Deutsche Bank",Diversified,0,, 
12/10/07,1416528D US,Cardtronics Inc,120,10,-5,12000000.00,"Deutsche Bank, William Blair & Co LLC, BofA Securities","Consumer, Non-cyclical",385.66,, 
12/6/07,LIA/U US,Liberty Acquisition Holdings Corp,1035,10,0,90000000.00,Citi,Diversified,0,, 
12/6/07,GQN/U US,Global Brands Acquisition Corp,287.5,10,0,25000000.00,Citi,Diversified,0,, 
12/6/07,TGY/U US,Tremisis Energy Acquisition Corp II,77.8614,8,-1.125,9500000.00,BofA Securities,Diversified,0,, 
12/6/07,1553838D US,Entropic Communications Inc,55.2,6,23.33333397,8000000.00,"UBS, Lehman Brothers",Technology,405.69,, 
12/5/07,TITN US,Titan Machinery Inc,58.65,8.5,11.52941132,6000000.00,"Craig-Hallum Capital Group Ltd, Robert W Baird & Co","Consumer, Cyclical",103.95,88.8855,NASDAQ GS
12/4/07,NSAQU US,North Shore Acquisition Corp,50.4,8,-1.25,6300000.00,EarlyBirdCapital.com,Diversified,0,, 
12/3/07,ADIS LN,Armor Designs Inc,800,500,,1600000.00,,Industrial,12961.2,, 
12/3/07,1085291D CN,Acro Energy Technologies Corp,0.19994,0.1,400,2000000.00,Canaccord Financial Inc,"Consumer, Non-cyclical",1.60952,, 
11/30/07,FABK US,First Advantage Bancorp,76.705,10,11.69999981,7670500.00,Stifel,Financial,0,, 
11/29/07,CAELU US,National American University Holdings Inc,53.0104,8,0.125,6250000.00,Morgan Joseph TriArtisan Group Inc,"Consumer, Non-cyclical",0,, 
11/28/07,PKO US,PIMCO Income Opportunity Fund,350.918,25,0.200000003,13000000.00,Morgan Stanley,Financial,0,, 
11/28/07,CAZ CN,Caza Oil & Gas Inc,20.376,0.8,-50,25000000.00,Haywood Securities Inc,Energy,0,, 
11/24/07,AKRXQ US,Akorn Inc,0,0,,,,"Consumer, Non-cyclical",0,0.151203, 
11/23/07,AVD/H CN,Avidus Management Group Inc,0.30423,0.2,24.99999809,1500000.00,Canaccord Financial Inc,"Consumer, Non-cyclical",0.527332,, 
11/22/07,HIP LN,HipCricket Inc/Old,17.2748,262,3.054634333,3162040.00,,Communications,155.027,, 
11/21/07,WLBUE US,Western Liberty Bancorp,319.489,10,0,30000000.00,Deutsche Bank,Financial,0,, 
11/20/07,IDI/U US,Fluent Inc,80,8,0.125,10000000.00,Lazard,Communications,0,, 
11/19/07,SFSF US,SuccessFactors Inc,124.085,10,32.5,10790000.00,"Goldman Sachs, Morgan Stanley",Technology,513.62,, 
11/16/07,RBCN US,Rubicon Technology Inc,107.87,14,25,6700000.00,UBS,Technology,269.35,,OTC US
11/16/07,INET US,Autodata Solutions Group LLC,48,8,0,6000000.00,Stifel,Communications,309.94,, 
11/15/07,EPB US,El Paso Pipeline Partners LP,575,20,4.5,25000000.00,"Citi, Goldman Sachs, UBS, Lehman Brothers",Energy,1218.76,, 
11/15/07,CIM US,Chimera Investment Corp,511.25,15,-0.666666687,33333300.00,"BofA Securities, UBS, Deutsche Bank",Financial,565.57,59.3231,New York
11/15/07,NMD US,Nuveen Municipal High Income Opportunity Fund 2,236.25,15,0,13750000.00,BofA Securities,Financial,0,, 
11/15/07,7586674Q US,3PAR Inc,107.835,14,12.5,7500000.00,"UBS, Goldman Sachs",Technology,843.05,, 
11/14/07,1236053D US,EnergySolutions Inc,828.506,23,0.043478262,30000000.00,"JP Morgan, Morgan Stanley, UBS",Industrial,0,, 
11/14/07,MSCI US,MSCI Inc,289.8,18,38.72222137,14000000.00,Morgan Stanley,Technology,289.8,96.4455,New York
11/14/07,PAX/U US,Kennedy-Wilson Holdings Inc,250,10,-0.5,25000000.00,Citi,Financial,250,, 
11/14/07,VRAD US,Virtual Radiologic Corp,78.2,17,22.05882263,4000000.00,Goldman Sachs,"Consumer, Non-cyclical",288.99,, 
11/14/07,9990616D US,ReShape Lifesciences Inc/CA,43.9188,8,0,5000000.00,"Morgan Stanley, JP Morgan","Consumer, Non-cyclical",134.39,91.543, 
11/13/07,SCU US,Sculptor Capital Management Inc,1152,32,-4.21875,36000000.00,"JP Morgan, Deutsche Bank, Citi, Morgan Stanley, BofA Securities, Lehman Brothers, Goldman Sachs",Financial,2372.44,, 
11/12/07,HEK/U US,Nuverra Environmental Solutions Inc,432.934,8,0,50000000.00,UBS,Energy,532.934,, 
11/12/07,CRPu CN,Ceres Global Ag Corp,160.555,12,0,12500000.00,"BMO Capital Markets, UBS, Wellington West Capital Markets Inc","Consumer, Non-cyclical",0,, 
11/12/07,FLC AU,Fluence Corp Ltd,98.7464,2,-10,55770000.00,Wilson HTM Investment Group,Industrial,253.196,33.9267,ASE
11/12/07,DIL NZ,Diligent Corp/Old,17.9928,1,-10,24000000.00,McDouall Stuart,Communications,77.9688,17.2807, 
11/9/07,ENSG US,Ensign Group Inc/The,73.6,16,0.875,4000000.00,DA Davidson & Co,"Consumer, Non-cyclical",336.74,98.8065,NASDAQ GS
11/8/07,1820099D US,Capitol Acquisition Corp,262.49,10,0,25000000.00,Citi,Financial,262.49,, 
11/8/07,QELP US,Quest Energy Partners LP,163.8,18,-8.333333015,9100000.00,"Wells Fargo, RBC Capital Markets",Energy,221.43,, 
11/8/07,OSP US,OSG America LP,142.5,19,-0.789473712,7500000.00,"UBS, Citi",Industrial,285,, 
11/8/07,LLFLQ US,LL Flooring Holdings Inc,110,11,-11.27272701,10000000.00,"Goldman Sachs, BofA Securities","Consumer, Cyclical",294.27,14.4279, 
11/8/07,APEI US,American Public Education Inc,107.812,20,79.59999847,4687500.00,William Blair & Co LLC,"Consumer, Non-cyclical",355.04,112.393,NASDAQ GS
11/7/07,EST/U US,ARMOUR Residential REIT Inc,250,10,-0.100000002,25000000.00,"Ladenburg Thalmann & Co, UBS",Financial,0,, 
11/7/07,GPH/U US,Golden Pond Healthcare Inc,143.75,8,0,15625000.00,Deutsche Bank,Diversified,0,, 
11/7/07,AREXQ US,Approach Resources Inc,105.8,12,4.916666508,7666670.00,JP Morgan,Energy,244.87,, 
11/7/07,ICXT US,FLIR Detection Inc,80,16,-19.6875,5000000.00,Lehman Brothers,Industrial,535.55,, 
11/7/07,ARYX US,ARYx Therapeutics Inc,50,10,-19,5000000.00,Morgan Stanley,"Consumer, Non-cyclical",175.37,,OTC US
11/6/07,BFRM US,Merz Aesthetics Inc,92,8,6.875,10000000.00,"Piper Sandler & Co, JP Morgan","Consumer, Non-cyclical",368.77,, 
11/5/07,SD US,SandRidge Energy Inc,841.867,26,23.07692337,28700000.00,"Goldman Sachs, Lehman Brothers, BofA Securities",Energy,3688.13,80.6781,New York
11/5/07,JUSH CN,Jushi Holdings Inc,0.21416,0.1,39.99999619,2000000.00,Canaccord Financial Inc,"Consumer, Non-cyclical",0.48186,28.4118,Canadian Sec
11/1/07,PROJ US,Deltek Inc,162,18,-0.277777791,9000000.00,UBS,Technology,774.61,, 
11/1/07,NSPH US,Nanosphere Inc,112.7,14,14.28571415,7000000.00,UBS,"Consumer, Non-cyclical",310.37,, 
11/1/07,IQNT US,Inteliquent Inc,107.064,14,44.8571434,6649930.00,Morgan Stanley,Communications,427.94,0.0140383, 
11/1/07,SDBT US,SoundBite Communications Inc,43.4562,8,0.25,5202020.00,"Stifel, TD Securities",Technology,119.95,, 
10/29/07,GXDX US,Genoptix Inc,97.75,17,49.11764526,5000000.00,Lehman Brothers,"Consumer, Non-cyclical",273.18,, 
10/25/07,PMII US,Power Medical Interventions Inc,48.7025,11,7.181818008,3850000.00,"Lazard, Jefferies","Consumer, Non-cyclical",188.18,, 
10/25/07,SDEV US,Stablecoin Development Corp,21.738,4,-9.5,5000000.00,Eight Capital,"Consumer, Non-cyclical",84.55,5.75926,NYSEAmerican
